,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Warwick,90,US,1598726046,94,41.7,-71.42,75.99,12.75
1,Bredasdorp,100,ZA,1598725957,93,-34.53,20.04,42.8,8.05
2,Jamestown,90,US,1598725929,73,42.1,-79.24,73.99,24.16
3,Ushuaia,75,AR,1598725927,80,-54.8,-68.3,33.8,18.34
4,Chui,98,UY,1598726009,92,-33.7,-53.46,62.01,9.95
5,Kapaa,75,US,1598725934,78,22.08,-159.32,78.01,8.05
6,Saint-Philippe,38,RE,1598725965,68,-21.36,55.77,71.6,13.87
7,Hilo,20,US,1598725932,65,19.73,-155.09,78.8,4.7
8,Thompson,75,CA,1598725733,76,55.74,-97.86,53.6,4.7
9,Asău,0,RO,1598726049,81,46.43,26.4,69.01,2.59
10,Savannakhet,100,LA,1598726050,86,16.57,104.75,77.36,4.03
11,Qaanaaq,0,GL,1598725935,69,77.48,-69.36,39.76,2.89
12,Bubaque,100,GW,1598726068,86,11.28,-15.83,78.76,18.25
13,Saskylakh,100,RU,1598725969,62,71.92,114.08,50.23,4.12
14,Butaritari,29,KI,1598725950,72,3.07,172.79,82.67,11.52
15,Busselton,63,AU,1598725953,71,-33.65,115.33,41.0,7.72
16,Pevek,100,RU,1598725928,83,69.7,170.31,37.2,6.06
17,Mataura,93,NZ,1598725928,80,-46.19,168.86,48.69,6.71
18,Punta Arenas,75,CL,1598725734,86,-53.15,-70.92,39.2,32.21
19,Lodja,99,CD,1598726096,83,-3.48,23.43,74.05,3.98
20,Richards Bay,100,ZA,1598726096,73,-28.78,32.04,68.23,12.55
21,Laguna,1,US,1598725877,44,38.42,-121.42,79.0,5.82
22,Hithadhoo,100,MV,1598725997,76,-0.6,73.08,82.54,10.56
23,Cape Town,40,ZA,1598725867,75,-33.93,18.42,48.99,14.99
24,Portland,40,US,1598725958,63,45.52,-122.68,71.01,3.36
25,Dikson,100,RU,1598725937,99,73.51,80.55,42.75,10.65
26,Coquimbo,92,CL,1598725980,55,-29.95,-71.34,60.8,14.99
27,Rikitea,81,PF,1598725923,65,-23.12,-134.97,70.0,6.4
28,Vostochnyy,84,RU,1598726099,72,55.82,37.87,61.0,6.71
29,Nantucket,90,US,1598726100,88,41.28,-70.1,73.4,11.41
30,Hambantota,90,LK,1598726100,88,6.12,81.12,80.6,8.05
31,Vostok,100,RU,1598725996,98,46.49,135.88,48.96,6.08
32,Cherskiy,100,RU,1598725985,94,68.75,161.3,38.41,3.38
33,Okhotsk,63,RU,1598726014,63,59.38,143.3,48.27,4.03
34,Bandarbeyla,96,SO,1598726045,77,9.49,50.81,77.16,28.07
35,Shelabolikha,64,RU,1598726101,48,53.41,82.62,64.4,8.95
36,Savannah Bight,0,HN,1598726102,76,16.45,-85.85,84.99,21.41
37,Port Alfred,28,ZA,1598725941,63,-33.59,26.89,53.56,18.19
38,Puerto Ayora,96,EC,1598725931,64,-0.74,-90.35,75.2,25.28
39,Yumen,0,CN,1598725977,48,40.28,97.2,57.24,8.12
40,Castro,0,BR,1598725943,51,-24.79,-50.01,76.64,5.35
41,Upernavik,0,GL,1598725966,67,72.79,-56.15,41.92,7.16
42,Port Elizabeth,40,ZA,1598725968,76,-33.92,25.57,48.2,12.75
43,Udachny,75,RU,1598726004,50,66.42,112.4,51.8,4.47
44,Albany,100,US,1598725759,85,42.6,-73.97,77.0,6.78
45,Yellowknife,90,CA,1598725919,100,62.46,-114.35,46.4,21.92
46,Katsuura,75,JP,1598725964,88,35.13,140.3,82.4,6.93
47,Takoradze,0,GH,1598726105,86,4.88,-1.76,75.2,11.05
48,Shunyi,100,CN,1598726105,88,40.12,116.65,84.0,4.47
49,Baykit,83,RU,1598725989,87,61.67,96.37,50.25,0.98
50,Ancud,46,CL,1598725960,92,-41.87,-73.82,46.99,8.01
51,Mollet del Vallès,20,ES,1598726106,82,41.54,2.21,68.0,4.7
52,New Norfolk,100,AU,1598725931,55,-42.78,147.06,54.0,1.99
53,Mount Isa,0,AU,1598725993,34,-20.73,139.5,64.4,2.24
54,Airai,24,TL,1598725940,48,-8.93,125.41,54.57,3.65
